job	name	srch	link	AveragePay	MinPay	MaxPay	AverageAdditional	MinAdditional	MaxAdditional	AveragePayRaw	MinPayRaw	MaxPayRaw	AdditionalCashRaw	AdditionalRangeRaw
tax-associate	Finance & Accounting	SRCH_KO0,13	https://www.glassdoor.com/Salaries/tax-associate-salary-SRCH_KO0,13.htm	56201	48000	68000	2435	927	6272	$56,201	$48KLow	$68KHigh	$2,435	$927 - $6,272
patient-sitter	Finance & Accounting	SRCH_KO0,14	https://www.glassdoor.com/Salaries/patient-sitter-salary-SRCH_KO0,14.htm	12	10	13	671	671	671	$12	$10Low	$13High	$671	$671 - $671
bookkeeping	Finance & Accounting	SRCH_KO0,11	https://www.glassdoor.com/Salaries/bookkeeping-salary-SRCH_KO0,11.htm	34861	25000	49000	1107	305	5287	$34,861	$25KLow	$49KHigh	$1,107	$305 - $5,287
accounting-analyst	Finance & Accounting	SRCH_KO0,18	https://www.glassdoor.com/Salaries/accounting-analyst-salary-SRCH_KO0,18.htm	52796	39000	71000	4309	1168	11464	$52,796	$39KLow	$71KHigh	$4,309	$1,168 - $11,464
school-nurse	Healthcare	SRCH_KO0,12	https://www.glassdoor.com/Salaries/school-nurse-salary-SRCH_KO0,12.htm	74973	56000	91000	1380	8	4783	$74,973	$56KLow	$91KHigh	$1,380	$8 - $4,783
home-health-aide	Healthcare	SRCH_KO0,16	https://www.glassdoor.com/Salaries/home-health-aide-salary-SRCH_KO0,16.htm	23831	19000	31000	488	156	2520	$23,831	$19KLow	$31KHigh	$488	$156 - $2,520
optician	Healthcare	SRCH_KO0,8	https://www.glassdoor.com/Salaries/optician-salary-SRCH_KO0,8.htm	27864	20000	39000	2506	391	8566	$27,864	$20KLow	$39KHigh	$2,506	$391 - $8,566
radiology-technologist	Healthcare	SRCH_KO0,22	https://www.glassdoor.com/Salaries/radiology-technologist-salary-SRCH_KO0,22.htm	50872	39000	69000	889	241	3219	$50,872	$39KLow	$69KHigh	$889	$241 - $3,219
medical-biller	Healthcare	SRCH_KO0,14	https://www.glassdoor.com/Salaries/medical-biller-salary-SRCH_KO0,14.htm	36698	26000	54000	995	215	3808	$36,698	$26KLow	$54KHigh	$995	$215 - $3,808
occupational-therapy-assistant	Healthcare	SRCH_KO0,30	https://www.glassdoor.com/Salaries/occupational-therapy-assistant-salary-SRCH_KO0,30.htm	30	21	36	468	377	559	$30	$21Low	$36High	$468	$377 - $559
physician	Healthcare	SRCH_KO0,9	https://www.glassdoor.com/Salaries/physician-salary-SRCH_KO0,9.htm	201860	119000	303000	18587	3078	105504	$201,860	$119KLow	$303KHigh	$18,587	$3,078 - $105,504
psychiatric-technician	Healthcare	SRCH_KO0,22	https://www.glassdoor.com/Salaries/psychiatric-technician-salary-SRCH_KO0,22.htm	30233	24000	41000	497	179	1314	$30,233	$24KLow	$41KHigh	$497	$179 - $1,314
physical-therapy-assistant	Healthcare	SRCH_KO0,26	https://www.glassdoor.com/Salaries/physical-therapy-assistant-salary-SRCH_KO0,26.htm	35230	28000	48000	338	169	1251	$35,230	$28KLow	$48KHigh	$338	$169 - $1,251
